Seed,Total_Produced_kt,Total_Processed_kt,Total_Shipped_kt,Customer_1_Backlog,Customer_2_Backlog,Customer_3_Backlog,Total_Backlog_kt
25,1403.969645939366,1228.9988162755692,1029.5452620200454,0.0,21.49160245394275,23.813058607332074,45.30466106127483
26,1377.1903801536678,1259.8783690164296,1011.6216406215407,0.0,24.681419174201807,33.192619901630465,57.87403907583227
27,1390.0482870332166,1197.3435701279725,1034.8981751680358,0.0,24.688075349780668,25.50974985312568,50.197825202906344
28,1439.3099734488458,1222.8695704946865,1031.7955034237334,0.0,8.754739245977458,22.07882387909008,30.83356312506754
29,1528.4656206066438,1248.1980236889085,1037.3379172976327,0.0,9.632983253750282,22.278159630719415,31.911142884469697
30,1439.4049749953924,1201.6849157830384,1059.8140902604946,0.0,19.424741923057326,31.68151380693385,51.106255729991176
31,1364.5264755421874,1228.7194432408367,1025.2952493575003,0.0,17.190107186124475,40.35152648563157,57.541633671756045
32,1436.4043825772064,1282.771222480664,1028.7903290992988,0.0,13.218152946356646,26.87981869025935,40.097971636615995
33,1367.5943638847048,1263.1174854370786,1025.4899201945732,0.0,31.405978285142467,27.549332223448275,58.95531050859074
34,1503.6192005836058,1279.8398802941567,1053.0746800193706,0.0,20.366673566119324,25.088890323684122,45.45556388980344
35,1506.9928037453712,1270.8041647912112,1070.0409773148915,0.0,15.833875827723752,27.53366399216724,43.36753981989099
36,1370.8395231206466,1263.4388153397153,1016.5510721621781,0.0,9.759615802428492,29.11927118749413,38.87888698992262
37,1395.952507156922,1368.5958570418966,1015.4113515135987,0.0,22.816623259513438,25.202041770851018,48.01866503036446
38,1420.6216471333528,1267.9166785894208,1017.967848097708,0.0,18.855941814226863,23.63589951044321,42.49184132467008
39,1388.5111620176908,1260.9072236269424,1039.9710984710016,0.0,13.652787206911334,24.15219431910947,37.8049815260208
40,1404.316086727528,1284.7812195270535,1029.5852935749162,0.0,15.10555351687389,18.36247631540261,33.4680298322765
41,1404.2858921888496,1261.629285670792,1064.1524363561548,0.0,19.996708791168004,30.345697008400055,50.342405799568056
42,1486.7523874973347,1253.2567766369561,1008.5541662896396,0.0,20.96636035570903,35.84997197518611,56.816332330895136
43,1436.2383913757517,1267.302792312057,1081.1645113382099,0.0,7.619928330376673,21.44177356990947,29.061701900286142
44,1452.8560410516368,1254.5110740547245,1026.6833348341227,0.0,7.06406877943882,26.826346594474792,33.89041537391361
45,1530.7358106911324,1270.1020661504913,1024.2732330347078,0.0,7.106996359737501,26.932176078995795,34.039172438733296
46,1397.3126272127993,1266.7624358536648,1047.2258105881267,0.0,22.19356971592703,18.38257856690006,40.57614828282709
47,1473.7885786044794,1224.1162032695113,1062.6883710221516,0.0,9.089325244162065,24.738204262229104,33.82752950639117
48,1449.2002902604534,1319.9111112528858,981.614978800354,0.0,9.188026176278761,21.28612887650206,30.474155052780823
49,1413.0528060157756,1254.3773805729238,1036.3573744692335,0.0,5.339210527057908,30.75914723895134,36.098357766009244
50,1395.898412502921,1252.19017838608,998.9318476356397,0.0,2.1622832615700247,32.705709326007394,34.86799258757742
